rfi_id,bus_name,upstream_line,cum_dist_m,x_coord,y_coord
1,318412,333,0.0,823571.0,275834.0
2,243937,246178,187.83,823946.0,275374.0
3,157347,246179,363.26,823697.0,275353.0
4,298162,298366,669.8,823670.0,273893.0
5,165448,298367,702.88,823722.0,273759.0
6,165449,274465,1053.38,823859.0,272662.0
7,287274,285774,1288.5,823904.0,272029.0
8,283954,282437,1501.49,823595.0,271381.0
9,283956,282438,1695.04,823022.0,271328.0
10,189963,183048,1940.18,823292.0,270082.0
11,181977,175042,2122.68,823972.0,269553.0
12,181924,174991,2336.79,823466.0,268475.0
13,181993,175060,2536.11,822795.0,268592.0
14,181994,175061,2756.65,822073.0,268639.0
15,181891,174955,2975.04,824687.0,267937.0
16,255335,255390,3207.96,820910.0,268338.0
17,182030,175098,3393.15,820558.0,268339.0
18,182153,182907,3612.68,820469.0,269946.0
19,182158,182912,3829.0,820461.0,270443.0
20,182162,182916,4041.04,820892.0,270699.0
