Va_mag_base,Va_mag_fault,Va_mag_delta,Va_mag_ratio,Vb_mag_base,Vb_mag_fault,Vb_mag_delta,Vb_mag_ratio,Vc_mag_base,Vc_mag_fault,Vc_mag_delta,Vc_mag_ratio,Ia_mag_base,Ia_mag_fault,Ia_mag_delta,Ia_mag_ratio,Ib_mag_base,Ib_mag_fault,Ib_mag_delta,Ib_mag_ratio,Ic_mag_base,Ic_mag_fault,Ic_mag_delta,Ic_mag_ratio,V_unbalance_base,V_unbalance_fault,I_unbalance_fault,rfi_id,zone,fault_type,der_level
6992.906735916138,5392.357290540365,-1600.5494453757728,0.7711181478861686,6964.33360750761,6572.618452776803,-391.7151547308076,0.943754108173604,7003.622211219992,6738.910318397868,-264.71189282212436,0.9622035734026246,63.485663717241685,6970.01211083478,6906.526447117539,109.7887570629877,71.15359494086161,795.0831479137926,723.929552972931,11.174180989373983,58.142550560156394,727.5957361858517,669.4531856256954,12.513997565914394,0.003237544826411503,0.1350956791415701,1.4621214106313773,1,rfi1,SLG,0
6979.772363878663,3712.1972286007162,-3267.5751352779466,0.5318507588889112,7007.337010885781,6693.727278517828,-313.60973236795235,0.9552455188210921,6988.467794289762,7091.724838564459,103.25704427469645,1.0147753480897583,59.02460649118544,6996.995959799287,6937.971353308102,118.5437121185077,35.046669740762894,723.8680872300828,688.8214174893199,20.654404329554584,55.035134376400514,765.6294672602684,710.5943328838679,13.911648911837238,0.0022137108899983986,0.36353784066716627,1.4734583069029672,2,rfi2,SLG,0
6967.135826839424,3387.2741087436093,-3579.861718095815,0.48617885353904666,6975.453333838933,6672.29490660383,-303.15842723510286,0.9565392508950726,6987.691044945417,7149.276595895651,161.58555095023348,1.023124312438959,122.25948751379941,,,,91.54494148087086,,,,120.07157590977339,,,,0.0015667697178591087,0.4095000585285173,0.0,3,rfi3,SLG,0
6956.67110183442,224.7573676660519,-6731.913734168368,0.032308177916702874,6957.868591508315,7409.857254846736,451.98866333842125,1.0649607932938037,6936.679969691487,7544.27000359637,607.5900339048831,1.0875908988968257,137.51571310401408,,,,105.69927581861444,,,,137.44446629069563,,,,0.0019749326238582545,0.9555782839380476,0.0,4,rfi4,SLG,0
6971.480236364488,23.042238735230175,-6948.437997629258,0.0033052146680467853,6976.48410622066,7439.563701052614,463.07959483195464,1.0663772163429777,6954.9171766950885,7563.50172583133,608.5845491362415,1.0875042122968077,195.04097475232936,,,,170.40402828685643,,,,202.824230000635,,,,0.001824149898175574,0.995399559370664,0.0,5,rfi5,SLG,0
6867.214195592364,5.030951231449923,-6862.183244360915,0.0007326043848579787,6922.758021530021,7400.331073545286,477.5730520152647,1.0689859519182956,6886.040531798411,7551.707646669733,665.6671148713212,1.096669067194333,20.146413293679416,,,,19.002746976057043,,,,17.653735141543116,,,,0.004462239252299033,0.9989909217496551,0.0,6,rfi6,SLG,0
6881.914717240751,10.546656582554764,-6871.368060658197,0.0015325177680759407,6939.024018027153,7404.641815801799,465.6177977746456,1.0671013382523247,6883.57994064991,7545.014979444014,661.435038794104,1.0960888149040156,17.201871813311996,,,,17.11970058252444,,,,17.12547492369542,,,,0.005436174582245221,0.9978850575228109,0.0,7,rfi7,SLG,0
6874.319455728918,15.713303707836735,-6858.6061520210815,0.002285797715545731,6936.5489424002635,7409.310224494675,472.7612820944114,1.0681551137345282,6869.542620017622,7527.059271727496,657.5166517098742,1.095714764152404,48.174711132655865,,,,48.46028066738196,,,,48.22174987517414,,,,0.00624918958044816,0.9968472679188394,0.0,8,rfi8,SLG,0
6871.106149534496,18.096437979459136,-6853.009711555036,0.0026337008315153354,6903.414799970799,7426.394971087023,522.9801711162236,1.0757567357995692,6886.419145279067,7516.30879427902,629.8896489999524,1.0914683866479096,20.988548966393555,,,,26.316951691667683,,,,24.873195962631993,,,,0.0023863534235058245,0.9963712292657823,0.0,9,rfi9,SLG,0
6912.642429263654,18.672739692421974,-6893.969689571232,0.0027012448399433594,6883.514092650126,7393.506890579054,509.99279792892776,1.074089017769786,6883.299127489319,7539.0888290641715,655.7897015748522,1.095272585053855,17.27670863030998,,,,22.35263003022302,,,,20.543001793770472,,,,0.0028275230924441636,0.9962532798317666,0.0,10,rfi10,SLG,0
6872.473130234887,19.131016346470645,-6853.342113888417,0.002783716426959211,6920.720148700979,7376.568868315219,455.8487196142405,1.0658672377757976,6876.925709032883,7517.643982440527,640.7182734076441,1.09316928821349,15.8705796158817,,,,20.95919596700105,,,,19.145607487142403,,,,0.00445287509896586,0.9961515640254218,0.0,11,rfi11,SLG,0
6901.575616618751,20.38619005652187,-6881.1894265622295,0.002953845786668285,6906.352683487775,7462.105368281624,555.7526847938489,1.080469780543149,6834.848126626074,7535.066175648299,700.2180490222245,1.1024482235815058,11.50009484409788,,,,11.712090049368465,,,,14.405177711461722,,,,0.006696388315060499,0.9959275288796688,0.0,12,rfi12,SLG,0
6869.605287323765,20.87775944934316,-6848.727527874422,0.0030391497875239116,6900.261052057587,7372.711877690291,472.4508256327035,1.0684685437360117,6850.46741046383,7486.109508736528,635.6420982726986,1.0927881354930291,5.154911730820632,,,,5.249542068561379,,,,5.162990461563181,,,,0.0039014599522758193,0.995790689197813,0.0,13,rfi13,SLG,0
6967.652058768526,1439.8959880631369,-5527.756070705389,0.2066544046571732,6997.188600382181,7107.801972633965,110.61337225178431,1.0158082593694477,6951.591682171176,7408.639431420215,457.04774924903904,1.0657472087178588,13.707248263962638,,,,13.738779466916379,,,,13.74383431156653,,,,0.0035920781612564013,0.7292807329128422,0.0,14,rfi14,SLG,0
6960.5675962283185,1424.8364209860974,-5535.731175242221,0.2047011829549885,6974.477003785715,7127.828621464483,153.35161767876798,1.0219875436675079,6947.306107843609,7424.144379099178,476.83827125556854,1.068636427394096,20.250554583303398,,,,20.2133684579921,,,,20.14168813604785,,,,0.0019672260117747577,0.7324553889218475,0.0,15,rfi15,SLG,0
6927.365528995056,5.612003241898869,-6921.753525753157,0.0008101208487424793,6932.759777537847,7382.112514607607,449.3527370697602,1.0648158527756384,6872.756933306293,7500.278399360699,627.5214660544061,1.091305639373532,17.27551410595938,,,,18.548293765446278,,,,17.30752468430841,,,,0.005528003226685324,0.9988691559358688,0.0,16,rfi16,SLG,0
6886.134850850548,13.777888291224432,-6872.356962559324,0.0020008159278964224,6951.675414669674,7399.21017511926,447.53476044958643,1.06437797131684,6852.934625532328,7539.878087685573,686.9434621532446,1.1002407727039836,28.930054745887485,,,,32.08035276626727,,,,26.400744440750305,,,,0.007939847203254349,0.9972357363159675,0.0,17,rfi17,SLG,0
6850.435536710551,13.909715101119637,-6836.525821609432,0.002030486240849851,6918.998604514379,7371.828988318145,452.8303838037664,1.0654473876477315,6857.359008097912,7532.012086718419,674.6530786205067,1.098383806043085,23.759172106695253,,,,26.65630627168336,,,,21.22855676080899,,,,0.006312307651398887,0.9972027187013377,0.0,18,rfi18,SLG,0
6906.932209291475,16.730257661268144,-6890.201951630207,0.002422241474842036,6950.927023122626,7384.84746897668,433.92044585405347,1.0624262698213625,6872.772875389114,7535.945222897419,663.1723475083045,1.096492690727941,56.919726202950486,,,,57.240613699265424,,,,57.203408936798695,,,,0.005892196674441303,0.9966399534144069,0.0,19,rfi19,SLG,0
6878.587487228427,18.43029993347457,-6860.157187294952,0.0026793727589704097,6914.833231694171,7392.164800687049,477.3315689928777,1.0690300912544104,6845.324269645849,7486.351240088138,641.026970442289,1.0936445002736814,7.633090255020138e-08,,,0.0,7.70553385168678e-08,,,0.0,7.634862367380432e-08,,,0.0,0.005124086109530604,0.9962884406954375,0.0,20,rfi20,SLG,0
